id,data,depoimento,depoimento_en
1,2023-01-01,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
2,2023-01-02,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
3,2023-01-03,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
4,2023-01-04,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
5,2023-01-05,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
6,2023-01-06,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
7,2023-01-07,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
8,2023-01-08,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
9,2023-01-09,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
10,2023-01-10,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
11,2023-01-11,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
12,2023-01-12,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
13,2023-01-13,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
14,2023-01-14,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
15,2023-01-15,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
16,2023-01-16,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
17,2023-01-17,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
18,2023-01-18,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
19,2023-01-19,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
20,2023-01-20,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
21,2023-01-21,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
22,2023-01-22,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
23,2023-01-23,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
24,2023-01-24,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
25,2023-01-25,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
26,2023-01-26,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
27,2023-01-27,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
28,2023-01-28,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
29,2023-01-29,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
30,2023-01-30,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
31,2023-01-31,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
32,2023-02-01,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
33,2023-02-02,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
34,2023-02-03,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
35,2023-02-04,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
36,2023-02-05,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
37,2023-02-06,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
38,2023-02-07,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
39,2023-02-08,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
40,2023-02-09,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
41,2023-02-10,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
42,2023-02-11,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
43,2023-02-12,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
44,2023-02-13,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
45,2023-02-14,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
46,2023-02-15,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
47,2023-02-16,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
48,2023-02-17,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
49,2023-02-18,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
50,2023-02-19,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
51,2023-02-20,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
52,2023-02-21,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
53,2023-02-22,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
54,2023-02-23,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
55,2023-02-24,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
56,2023-02-25,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
57,2023-02-26,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
58,2023-02-27,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
59,2023-02-28,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
60,2023-03-01,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
61,2023-03-02,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
62,2023-03-03,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
63,2023-03-04,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
64,2023-03-05,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
65,2023-03-06,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
66,2023-03-07,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
67,2023-03-08,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
68,2023-03-09,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
69,2023-03-10,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
70,2023-03-11,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
71,2023-03-12,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
72,2023-03-13,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
73,2023-03-14,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
74,2023-03-15,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
75,2023-03-16,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
76,2023-03-17,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
77,2023-03-18,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
78,2023-03-19,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
79,2023-03-20,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
80,2023-03-21,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
81,2023-03-22,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
82,2023-03-23,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
83,2023-03-24,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
84,2023-03-25,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
85,2023-03-26,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
86,2023-03-27,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
87,2023-03-28,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
88,2023-03-29,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
89,2023-03-30,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
90,2023-03-31,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
91,2023-04-01,Ambiente aconchegante e atendimento simpático; comida saborosa.,Cozy atmosphere and friendly service; tasty food.
92,2023-04-02,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.","Excellent service, but the preparation time for dishes is too long."
93,2023-04-03,A comida é deliciosa e o serviço é sempre cordial.,The food is delicious and the service is always courteous.
94,2023-04-04,"Ótima experiência, com ambiente agradável e equipe atenciosa.","Great experience, with a pleasant atmosphere and attentive staff."
95,2023-04-05,"Serviço impecável, porém a demora no preparo compromete a experiência.","Impeccable service, but the delay in preparation affects the experience."
96,2023-04-06,Recomendo pela qualidade dos pratos e simpatia dos funcionários.,I recommend it for the quality of the dishes and the friendliness of the staff.
97,2023-04-07,O restaurante oferece um ótimo atendimento e pratos bem servidos.,The restaurant offers great service and well-served dishes.
98,2023-04-08,"O atendimento é bom, mas o preparo dos pratos demora demais.","The service is good, but the preparation of the dishes takes too long."
99,2023-04-09,Local agradável com decoração charmosa e pratos bem apresentados.,Pleasant place with charming decor and well-presented dishes.
100,2023-04-10,A comida tem um sabor único e o ambiente é acolhedor.,"The food has a unique taste, and the atmosphere is cozy."
